Naam;Eiwit (g) per 100 gram;Energie (kcal) per 100 gram;1 VSE;Hoeveelheid gram/ml;Eiwit (g) per VSE;Energie (kcal) per VSE;Kleurgroep;Productgroep
Marshmallows vegan (Frisia);0,5;321;3 stuks;21 gram;0,1;67;groen;Snoep, suiker, zoete sauzen
Pizzabodem Eiwitarm (Allergento);0,5;232;1 stuk;150 gram;0,8;348;groen;Samengestelde gerechten
Vegetarische knaks (Unox);5,6;182;1 stuk;20 gram;1,1;36;oranje;Snacks
Croissant;9,6;403;1 stuk;60 gram;5,8;242;rood;Brood en crackers
Appelkruimelvlaai;3,9;304;1 punt;135 gram;5,3;410;oranje;Gebak en koek
Vruchtenvlaai;2,9;228;1 punt;85 gram;2,5;194;oranje;Gebak en koek
Ananassap;0,5;47;1 glas;150 gram;0,8;71;groen;Dranken
Appelsap;0,1;46;1 glas;150 gram;0,2;69;groen;Dranken
Appeltjes, gedroogd;2;292;10 stuks;25 gram;0,5;73;oranje;Fruit
Appelmoes (blik/ pot);0,2;76;1 schaaltje;200 gram;0,4;152;groen;Fruit
Appel (gem. m schil);0,3;56;1 stuk;125 gram;0,4;70;groen;Fruit
Nutrical;0;247;1 flesje;200 ml;0;494;groen;Dieetpreparaten
Energivit ;0;492;10 gram;10 gram;0;49;groen;Dieetpreparaten
Duocal SS;0;492;10 gram;10 gram;0;49;groen;Dieetpreparaten
Basic-P Milupa;0;532;10 gram;10 gram;0;53;groen;Dieetpreparaten
Fresubin 5 kcal Shot;0;500;1 portie;30 ml;0;150;groen;Dieetpreparaten
Basecal 200;0;465;1 zakje;43 gram;0;200;groen;Dieetpreparaten
Calogen;0;450;1 portie;30 ml;0;135;groen;Dieetpreparaten
Voedingssuiker, dextrine-maltose;0;381;10 gram;10 gram;0;38;groen;Dieetpreparaten
Wijn (rood, wit, rose);0,1;73;1 wijnglas;125 ml;0,1;91;groen;Dranken
Bitterbal, vega (Mora);4,7;241;1 stuk;20 gram;0,9;48;oranje;Snacks
Koekje, eiwitarm (gem);0,8;466;1 stuk;10 gram;0,1;47;groen;Gebak en koek
Doperwten met wortel (blik/glas);3,4;56;2 opscheplepels;100 gram;3,4;56;oranje;Groenten en peulvruchten
Doperwten middelfijn (blik/ glas);5;94;2 opscheplepels;100 gram;5;94;rood;Groenten en peulvruchten
Tuinbonen (gekookt);5;45;2 opscheplepels;100 gram;5;45;rood;Groenten en peulvruchten
Komkommer (rauw);0,7;13;1 schaaltje;70 gram;0,5;9;groen;Groenten en peulvruchten
Rauwkost/ groenten, rauw (gem);0,9;18;1 schaaltje;70 gram;0,6;13;groen;Groenten en peulvruchten
Margarine;0,1;720;1 voor 1 snee;5 gram;0;36;groen;Vetten, oliën en hartige sauzen
Falafel onbereid;6,8;208;2 stuks;30 gram;2;62;rood;Vegetarische producten
Bitterbal;11;302;1 stuk;20 gram;2,2;60;rood;Snacks
Yoghurt (vol);3,8;56;1 schaaltje;150 ml;5,7;84;rood;Melkproducten- Nagerechten
Danoontje XL, vruchtenkwark;6,4;87;1 bakje;100 gram;6,4;87;rood;Melkproducten- Nagerechten
Vanille ijs Vegan (Hertog);1;176;1 portie;52 gram;0,5;92;oranje;Melkproducten- Ijs
Roomijs m. chocolade (Magnum Classic);3,3;302;1 stuk;79 gram;2,6;239;rood;Melkproducten- Ijs
Ayran Turkse yoghurtdrink;2,3;33;1 glas;200 ml;4,6;66;oranje;Melk/yoghurtdrank
Mon Chou roomkaas;6,8;316;1 voor 1 snee;20 gram;1,4;63;oranje;Kaas
Boursin plant-based;2;260;1 voor 1 snee;20 gram;0,4;52;oranje;Kaas
Glutenvrije tortilla (Old el Paso);1,9;168;1 stuk;36 gram;0,7;60;oranje;Graanproducten, pappen en bindmiddelen
Brinta Classic ontbijtproduct;14;347;1 portie;35 gram;4,9;121;rood;Graanproducten, pappen en bindmiddelen
Pyjamapapje kant-en-klaar;2,3;83;100 gram;150 gram;3,5;125;rood;Graanproducten, pappen en bindmiddelen
Knakworst;12;201;1 stuk;20 gram;2,4;40;rood;Snacks
